book_name,summaries,categories,categories_list,combined_text
59 Seconds," shows you several self-improvement hacks, grounded in the science of psychology, which you can use to improve your mindset, happiness and life in less than a minute.","relationships, happiness, productivity, psychology","['relationships', 'happiness', 'productivity', 'psychology']"," shows you several self-improvement hacks, grounded in the science of psychology, which you can use to improve your mindset, happiness and life in less than a minute. relationships happiness productivity psychology"
60 Seconds & You’re Hired!," is a guide to getting your dream job that will help you feel confident in your next interview by teaching you how to impress your interviewer with being concise, focusing on your strengths, and knowing what to do at every step of the process.","money, productivity, business, communication, work","['money', 'productivity', 'business', 'communication', 'work']"," is a guide to getting your dream job that will help you feel confident in your next interview by teaching you how to impress your interviewer with being concise, focusing on your strengths, and knowing what to do at every step of the process. money productivity business communication work"
7 Strategies For Wealth And Happiness," is the ultimate guide to improving your wealth through self-discipline, action, and a positive attitude toward work, money, and the people around you.","happiness, money, productivity, motivation, business, work, mindfulness","['happiness', 'money', 'productivity', 'motivation', 'business', 'work', 'mindfulness']"," is the ultimate guide to improving your wealth through self-discipline, action, and a positive attitude toward work, money, and the people around you. happiness money productivity motivation business work mindfulness"
75 Hard," is a fitness challenge and book that teaches mental toughness by making you commit to five daily critical tasks for 75 days straight, including drinking a gallon of water, reading 10 pages of a non-fiction book, doing two 45-minute workouts, taking a progress picture, and following a diet.","happiness, productivity, motivation, health, mindfulness","['happiness', 'productivity', 'motivation', 'health', 'mindfulness']"," is a fitness challenge and book that teaches mental toughness by making you commit to five daily critical tasks for 75 days straight, including drinking a gallon of water, reading 10 pages of a non-fiction book, doing two 45-minute workouts, taking a progress picture, and following a diet. happiness productivity motivation health mindfulness"
A Beautiful Mind," tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr.","science, biography, economics, psychology","['science', 'biography', 'economics', 'psychology']"," tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr. science biography economics psychology"
A Beginner’s Guide To The End," is your guide to using the principles of stillness, cleaning, and grief to prepare for your own or a loved one’s death.","relationships, health, mindfulness","['relationships', 'health', 'mindfulness']"," is your guide to using the principles of stillness, cleaning, and grief to prepare for your own or a loved one’s death. relationships health mindfulness"
A Brief History Of Everyone Who Ever Lived, gives you another important perspective on mankind’s past and present through the lens of our genes.,science,['science'], gives you another important perspective on mankind’s past and present through the lens of our genes. science
A Brief History Of Time," is Stephen Hawking’s way of explaining the most complex concepts and ideas of physics, such as space, time, black holes, planets, stars and gravity to the average Joe, so that even you and I can better understand how our planet was created, where it came from, and where it’s going.","science, creativity","['science', 'creativity']"," is Stephen Hawking’s way of explaining the most complex concepts and ideas of physics, such as space, time, black holes, planets, stars and gravity to the average Joe, so that even you and I can better understand how our planet was created, where it came from, and where it’s going. science creativity"
A Crack In Creation," will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans.","science, politics, health, technology","['science', 'politics', 'health', 'technology']"," will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans. science politics health technology"
A Curious Mind," is an homage to the power of asking questions, showing you how being curious can change your entire life, from the way you do business, to how you interact with your loved ones, or even shape your country.","productivity, psychology, motivation, business, creativity, education, communication","['productivity', 'psychology', 'motivation', 'business', 'creativity', 'education', 'communication']"," is an homage to the power of asking questions, showing you how being curious can change your entire life, from the way you do business, to how you interact with your loved ones, or even shape your country. productivity psychology motivation business creativity education communication"
A First-Rate Madness," shares the stories of many world leaders and explains how they prevailed despite their mental illnesses and struggles, showing you how to turn your psychological disadvantages into leadership strengths.","politics, psychology","['politics', 'psychology']"," shares the stories of many world leaders and explains how they prevailed despite their mental illnesses and struggles, showing you how to turn your psychological disadvantages into leadership strengths. politics psychology"
A Force For Good," is a universal call to turn our compassion outward and use it to improve ourselves and the world around us in science, religion, social issues, business and education.","relationships, happiness, psychology, motivation, communication, mindfulness","['relationships', 'happiness', 'psychology', 'motivation', 'communication', 'mindfulness']"," is a universal call to turn our compassion outward and use it to improve ourselves and the world around us in science, religion, social issues, business and education. relationships happiness psychology motivation communication mindfulness"
A General Theory Of Love, will help you reprogram your mind for better emotional intelligence and relationships by teaching you what three psychiatrists have to say about the science of why we experience love and other emotions.,"science, relationships, happiness, psychology","['science', 'relationships', 'happiness', 'psychology']", will help you reprogram your mind for better emotional intelligence and relationships by teaching you what three psychiatrists have to say about the science of why we experience love and other emotions. science relationships happiness psychology
A Guide To The Good Life," is a roadmap for aspiring Stoics, revealing why this ancient philosophy is useful today, what Stoicism is truly about, and showing you how to cultivate its powerful principles in your own life.","happiness, psychology, mindfulness","['happiness', 'psychology', 'mindfulness']"," is a roadmap for aspiring Stoics, revealing why this ancient philosophy is useful today, what Stoicism is truly about, and showing you how to cultivate its powerful principles in your own life. happiness psychology mindfulness"
A Higher Loyalty," shares James Comey’s experiences as the director of the FBI and outlines what he learned about leadership, ethics, and politics throughout his life, career, and experiences with President Trump who was the reason he lost his job in May of 2017.","biography, politics","['biography', 'politics']"," shares James Comey’s experiences as the director of the FBI and outlines what he learned about leadership, ethics, and politics throughout his life, career, and experiences with President Trump who was the reason he lost his job in May of 2017. biography politics"
A Message To Garcia, teaches you how to be the best at your job by becoming a dedicated worker with a good attitude about whatever tasks your company gives you.,"happiness, productivity, motivation, business, work","['happiness', 'productivity', 'motivation', 'business', 'work']", teaches you how to be the best at your job by becoming a dedicated worker with a good attitude about whatever tasks your company gives you. happiness productivity motivation business work
A Mind For Numbers," will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects don’t come naturally to you.","science, productivity, psychology","['science', 'productivity', 'psychology']"," will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects don’t come naturally to you. science productivity psychology"
A Monk’s Guide To Happiness, will help you find more joy in life by identifying the mental pitfalls you fall into that make it so hard to have and how to shatter the shackles of suffering to finally find inner peace.,"happiness, mindfulness","['happiness', 'mindfulness']", will help you find more joy in life by identifying the mental pitfalls you fall into that make it so hard to have and how to shatter the shackles of suffering to finally find inner peace. happiness mindfulness
A More Beautiful Question," will teach you how to ask more and better questions, showing you the power that the right questions have to transform your life for the better.","happiness, productivity, psychology, motivation, business, creativity, communication, work","['happiness', 'productivity', 'psychology', 'motivation', 'business', 'creativity', 'communication', 'work']"," will teach you how to ask more and better questions, showing you the power that the right questions have to transform your life for the better. happiness productivity psychology motivation business creativity communication work"
A New Earth," outlines a crazy and destructive place we call home, but not without showing us that we can all save it together, by looking into our minds and detaching ourselves from our ego, so we can practice acceptance and enjoyment.","environment, mindfulness","['environment', 'mindfulness']"," outlines a crazy and destructive place we call home, but not without showing us that we can all save it together, by looking into our minds and detaching ourselves from our ego, so we can practice acceptance and enjoyment. environment mindfulness"
A People’s History Of The United States," will help you improve the world by giving you a better understanding of the true, sometimes shameful, story of this America’s rise to power.","politics, economics","['politics', 'economics']"," will help you improve the world by giving you a better understanding of the true, sometimes shameful, story of this America’s rise to power. politics economics"
A Promised Land," is former president Barack Obama’s memoir in which he explains how he got into politics, what it was like for him to be president of the United States from 2009 to 2017, and how he felt during some of his biggest achievements, like passing the Affordable Care Act.","biography, politics","['biography', 'politics']"," is former president Barack Obama’s memoir in which he explains how he got into politics, what it was like for him to be president of the United States from 2009 to 2017, and how he felt during some of his biggest achievements, like passing the Affordable Care Act. biography politics"
A Random Walk Down Wall Street," explores how the individual investor can make money in the stock market by following a simple path that is guaranteed to bring success, if the investor has patience and gets accustomed to a series of concepts about stocks and what analyzing them consists of.","economics, money","['economics', 'money']"," explores how the individual investor can make money in the stock market by following a simple path that is guaranteed to bring success, if the investor has patience and gets accustomed to a series of concepts about stocks and what analyzing them consists of. economics money"
A Return To Love," will help you let go of resentment, fear, and anger to have happier and healthier jobs and relationships by teaching you how to embrace the power of love.","relationships, happiness, productivity, psychology, motivation, business, communication, work, mindfulness","['relationships', 'happiness', 'productivity', 'psychology', 'motivation', 'business', 'communication', 'work', 'mindfulness']"," will help you let go of resentment, fear, and anger to have happier and healthier jobs and relationships by teaching you how to embrace the power of love. relationships happiness productivity psychology motivation business communication work mindfulness"
A Short History Of Nearly Everything," explains everything we’ve learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it’s such a miracle that we’re alive and how much of our planet is still a complete mystery to us.",science,['science']," explains everything we’ve learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it’s such a miracle that we’re alive and how much of our planet is still a complete mystery to us. science"
A Splendid Exchange," outlines the history of global trade, revealing its older than we think, has enabled the progress of civilization, and continues to change the world on a daily basis.",politics,['politics']," outlines the history of global trade, revealing its older than we think, has enabled the progress of civilization, and continues to change the world on a daily basis. politics"
A Tale of Two Cities," tells the stories of two connected families in 18th-century London and Paris, exploring everything from love and loss to murder and family intrigue, thus teaching us about history, ethics, and the complexity of human relationships.","politics, relationships, motivation, education, fiction","['politics', 'relationships', 'motivation', 'education', 'fiction']"," tells the stories of two connected families in 18th-century London and Paris, exploring everything from love and loss to murder and family intrigue, thus teaching us about history, ethics, and the complexity of human relationships. politics relationships motivation education fiction"
A Universe From Nothing," will enlarge your knowledge of our expanding universe by showing you how it began, what we’re learning about it now, and what will happen to it in the future.",science,['science']," will enlarge your knowledge of our expanding universe by showing you how it began, what we’re learning about it now, and what will happen to it in the future. science"
A Vindication Of The Rights Of Woman, will help you make the world a more fair place by teaching some of the gender inequalities of the eighteenth century.,"politics, relationships","['politics', 'relationships']", will help you make the world a more fair place by teaching some of the gender inequalities of the eighteenth century. politics relationships
A Walk In The Woods," tells the interesting story of the adventures Bill Bryson and Stephen Katz had while walking the beautiful, rugged, and historic Appalachian Trail.","environment, happiness, motivation","['environment', 'happiness', 'motivation']"," tells the interesting story of the adventures Bill Bryson and Stephen Katz had while walking the beautiful, rugged, and historic Appalachian Trail. environment happiness motivation"
A Whole New Mind, is your guide to standing out in the competitive workplace by taking advantage of the big-picture skills of the right side of your brain.,"productivity, psychology, motivation, business, creativity, work, mindfulness","['productivity', 'psychology', 'motivation', 'business', 'creativity', 'work', 'mindfulness']", is your guide to standing out in the competitive workplace by taking advantage of the big-picture skills of the right side of your brain. productivity psychology motivation business creativity work mindfulness
A Woman of No Importance," tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany.","biography, politics, motivation","['biography', 'politics', 'motivation']"," tells the fascinating and exciting story of Virginia Hall, an American who became one of the best spies for the Allies in World War II and helped significantly in the defeat of Nazi Germany. biography politics motivation"
A World In Disarray, will open your mind to new ways of making the world a more peaceful place by guiding you through the major changes in global affairs since World War II.,politics,['politics'], will open your mind to new ways of making the world a more peaceful place by guiding you through the major changes in global affairs since World War II. politics
A World Without Email," presents a utopia where people engage in their usual professional activities without using emails as a means of communication, and explores a new way of working that doesn’t rely on instant messaging, which is known for decreasing productivity at the workplace.","productivity, psychology, management, communication, work, mindfulness","['productivity', 'psychology', 'management', 'communication', 'work', 'mindfulness']"," presents a utopia where people engage in their usual professional activities without using emails as a means of communication, and explores a new way of working that doesn’t rely on instant messaging, which is known for decreasing productivity at the workplace. productivity psychology management communication work mindfulness"
A Year With Peter Drucker," compiles 52 lessons with weekly exercises into one comprehensive, year-long curriculum for managers, leaders, and those who aspire to be one or the other, based on the teachings of the father of modern management.","management, business, work","['management', 'business', 'work']"," compiles 52 lessons with weekly exercises into one comprehensive, year-long curriculum for managers, leaders, and those who aspire to be one or the other, based on the teachings of the father of modern management. management business work"
AI 2041," explores the concept of artificial intelligence and delves into some thought-provoking ideas about AI taking over the world in the next twenty years, from our day-to-day lives to our jobs, becoming a worldwide used tool that will shake the world as we know it from the ground up.","economics, communication, technology, mindfulness","['economics', 'communication', 'technology', 'mindfulness']"," explores the concept of artificial intelligence and delves into some thought-provoking ideas about AI taking over the world in the next twenty years, from our day-to-day lives to our jobs, becoming a worldwide used tool that will shake the world as we know it from the ground up. economics communication technology mindfulness"
AI Superpowers," will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world’s two leaders in AI, are heading with this breakthrough technology.","science, technology, work","['science', 'technology', 'work']"," will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world’s two leaders in AI, are heading with this breakthrough technology. science technology work"
Abundance," shows you the key technological trends being developed today, to give you a glimpse of a future that’s a lot brighter than you think and help you embrace the optimism we need to make it happen.","science, productivity, psychology, technology","['science', 'productivity', 'psychology', 'technology']"," shows you the key technological trends being developed today, to give you a glimpse of a future that’s a lot brighter than you think and help you embrace the optimism we need to make it happen. science productivity psychology technology"
Accidental Genius," introduces you to the concept of freewriting, which you can use to solve complex problems, exercise your creativity, flesh out your ideas and even build a catalog of publishable work.","productivity, psychology, motivation, creativity, communication","['productivity', 'psychology', 'motivation', 'creativity', 'communication']"," introduces you to the concept of freewriting, which you can use to solve complex problems, exercise your creativity, flesh out your ideas and even build a catalog of publishable work. productivity psychology motivation creativity communication"
Accounting Made Simple," is your guide to learning the fundamental charts, equations, and concepts of managing a business’s financial statements.","money, business","['money', 'business']"," is your guide to learning the fundamental charts, equations, and concepts of managing a business’s financial statements. money business"
Adaptive Markets," gives you a better understanding of how the movement of money in the world works by outlining the characteristics of the market, some of which are more like living creatures than you might think.","economics, money, business","['economics', 'money', 'business']"," gives you a better understanding of how the movement of money in the world works by outlining the characteristics of the market, some of which are more like living creatures than you might think. economics money business"
Affluenza, asserts that the reason we are so unhappy is because of our obsession with consumption and the sickness that it brings upon ourselves and the world around us as well.,"environment, happiness, money, mindfulness","['environment', 'happiness', 'money', 'mindfulness']", asserts that the reason we are so unhappy is because of our obsession with consumption and the sickness that it brings upon ourselves and the world around us as well. environment happiness money mindfulness
Against Empathy, explains the problems with society’s obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it doesn’t work.,"science, relationships, psychology, communication","['science', 'relationships', 'psychology', 'communication']", explains the problems with society’s obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it doesn’t work. science relationships psychology communication
Age Of Ambition, explains how China has gone from impoverished and only developing to a world superpower and economic powerhouse in only the last 30 years. ,politics,['politics'], explains how China has gone from impoverished and only developing to a world superpower and economic powerhouse in only the last 30 years.  politics
Age Of Anger, will help you understand the current state of the world better by explaining how we got to this present situation of upheaval we’re in and how we might stand a chance of making things better.,politics,['politics'], will help you understand the current state of the world better by explaining how we got to this present situation of upheaval we’re in and how we might stand a chance of making things better. politics
Agile Selling, helps you become a great salesperson by identifying how successful people thrive in any sales position with the skills of learning and adapting quickly.,"money, productivity, marketing, business, work","['money', 'productivity', 'marketing', 'business', 'work']", helps you become a great salesperson by identifying how successful people thrive in any sales position with the skills of learning and adapting quickly. money productivity marketing business work
Alchemy, is your guide to making magic happen in business and life by teaching you how to practice irrational thinking to stand out and come up with powerful solutions to your problems and those of others. ,"productivity, motivation, marketing, business, creativity, work","['productivity', 'motivation', 'marketing', 'business', 'creativity', 'work']", is your guide to making magic happen in business and life by teaching you how to practice irrational thinking to stand out and come up with powerful solutions to your problems and those of others.  productivity motivation marketing business creativity work
Alexander Hamilton," will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history.","biography, politics, motivation","['biography', 'politics', 'motivation']"," will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history. biography politics motivation"
Alexander The Great," is one of the latest, most updated, and contemporary books on the life of the ancient, Macedonian king, who would extend his empire from a little slide of land in Greece through Persia, Egypt, all the way to India, forming the greatest empire the ancient world had ever seen.",biography,['biography']," is one of the latest, most updated, and contemporary books on the life of the ancient, Macedonian king, who would extend his empire from a little slide of land in Greece through Persia, Egypt, all the way to India, forming the greatest empire the ancient world had ever seen. biography"
Algorithms To Live By," explains how computer algorithms work, why their relevancy isn’t limited to the digital world and how you can make better decisions by strategically using the right algorithm at the right time, for example in dating, at home or in the office.","productivity, psychology, technology","['productivity', 'psychology', 'technology']"," explains how computer algorithms work, why their relevancy isn’t limited to the digital world and how you can make better decisions by strategically using the right algorithm at the right time, for example in dating, at home or in the office. productivity psychology technology"
Alibaba," shares the inspiring story of Jack Ma’s hard work, entrepreneurial vision, and smart thinking that helped him build one of the most successful and influential companies in the world. ","biography, happiness, money, productivity, motivation, marketing, management, business, creativity, work","['biography', 'happiness', 'money', 'productivity', 'motivation', 'marketing', 'management', 'business', 'creativity', 'work']"," shares the inspiring story of Jack Ma’s hard work, entrepreneurial vision, and smart thinking that helped him build one of the most successful and influential companies in the world.  biography happiness money productivity motivation marketing management business creativity work"
Alibaba’s World," is an inside look at one of the world’s largest e-commerce companies from one of its first Western employees, who served as its vice president and head of international marketing for several years, showing how this company turned from startup to global player in just 15 years.","motivation, business","['motivation', 'business']"," is an inside look at one of the world’s largest e-commerce companies from one of its first Western employees, who served as its vice president and head of international marketing for several years, showing how this company turned from startup to global player in just 15 years. motivation business"
All About Love, teaches you how to get more affection and connection in your relationships by explaining why true love is so difficult these days and how to combat the unrealistic expectations society has set up that makes it so hard.,"relationships, happiness, psychology, communication","['relationships', 'happiness', 'psychology', 'communication']", teaches you how to get more affection and connection in your relationships by explaining why true love is so difficult these days and how to combat the unrealistic expectations society has set up that makes it so hard. relationships happiness psychology communication
All In," talks about the life of Billie Jean King, a remarkable woman and tennis player who fought for gender equality in sports and managed to change the US legislature in this regard by never giving up on her vision, which is to ensure a no discrimination zone in sports for young women.","biography, environment","['biography', 'environment']"," talks about the life of Billie Jean King, a remarkable woman and tennis player who fought for gender equality in sports and managed to change the US legislature in this regard by never giving up on her vision, which is to ensure a no discrimination zone in sports for young women. biography environment"
All Marketers Are Liars," is based on the idea that we believe whatever we want to believe, and that it’s exactly this trait of ours, which marketers use (and sometimes abuse) to sell their products by infusing them with good stories – whether they’re true or not.","psychology, marketing, business","['psychology', 'marketing', 'business']"," is based on the idea that we believe whatever we want to believe, and that it’s exactly this trait of ours, which marketers use (and sometimes abuse) to sell their products by infusing them with good stories – whether they’re true or not. psychology marketing business"
Alone Together, is a book that will make you want to have a better relationship with technology by revealing just how much we rely on it and the ways our connection to it is growing worse and having negative effects on us all.,"happiness, productivity, psychology, health, technology","['happiness', 'productivity', 'psychology', 'health', 'technology']", is a book that will make you want to have a better relationship with technology by revealing just how much we rely on it and the ways our connection to it is growing worse and having negative effects on us all. happiness productivity psychology health technology
Altered Traits, explores the science behind meditation techniques and the way they benefit and alter our mind and body.,"science, happiness, productivity, psychology, mindfulness","['science', 'happiness', 'productivity', 'psychology', 'mindfulness']", explores the science behind meditation techniques and the way they benefit and alter our mind and body. science happiness productivity psychology mindfulness
Amazon, will help you make your business better by sharing what made Jeff Bezos’s gigantic company so successful at going from its humble beginnings to now dominating the e-commerce market.,"marketing, business, technology","['marketing', 'business', 'technology']", will help you make your business better by sharing what made Jeff Bezos’s gigantic company so successful at going from its humble beginnings to now dominating the e-commerce market. marketing business technology
Amusing Ourselves To Death, takes you through the history of media to highlight how entertainment’s standing in society has risen to the point where our addiction to it undermines our independent thinking.,"happiness, technology","['happiness', 'technology']", takes you through the history of media to highlight how entertainment’s standing in society has risen to the point where our addiction to it undermines our independent thinking. happiness technology
An American Sickness," will motivate you to see what you can do to help improve the state of healthcare in the United States by blowing open the recent greed, corruption, and selfishness of healthcare companies.","money, health, business","['money', 'health', 'business']"," will motivate you to see what you can do to help improve the state of healthcare in the United States by blowing open the recent greed, corruption, and selfishness of healthcare companies. money health business"
An Astronaut’s Guide To Life On Earth, teaches you how to live better by taking lessons from the rigorous requirements of going to outer space and applying them to everyday life. ,"happiness, motivation","['happiness', 'motivation']", teaches you how to live better by taking lessons from the rigorous requirements of going to outer space and applying them to everyday life.  happiness motivation
An Audience Of One," is a practical and inspiring manual for creators who want to live from their art, showing a simple, purpose-driven path to achieve that goal.","marketing, creativity, work","['marketing', 'creativity', 'work']"," is a practical and inspiring manual for creators who want to live from their art, showing a simple, purpose-driven path to achieve that goal. marketing creativity work"
An Invisible Thread, will help you feel more motivated to be kind to others by sharing the heartwarming story of the incredible friendship between a boy afflicted with poverty and a successful businesswoman.,relationships,['relationships'], will help you feel more motivated to be kind to others by sharing the heartwarming story of the incredible friendship between a boy afflicted with poverty and a successful businesswoman. relationships
An Ugly Truth," offers a critical look at Facebook and its administrators, who foster a gaslighting environment and a controversial social media platform that can easily become a danger for its users both virtually and in real life due to its immense power and influence on our society.","politics, marketing, management, business, technology","['politics', 'marketing', 'management', 'business', 'technology']"," offers a critical look at Facebook and its administrators, who foster a gaslighting environment and a controversial social media platform that can easily become a danger for its users both virtually and in real life due to its immense power and influence on our society. politics marketing management business technology"
Anatomy Of An Epidemic, teaches you how to make better decisions about your mental health as it uncovers the questionable origin of medication and reveals the interesting connection between psychiatry and pharmaceutical companies.,"happiness, psychology, health","['happiness', 'psychology', 'health']", teaches you how to make better decisions about your mental health as it uncovers the questionable origin of medication and reveals the interesting connection between psychiatry and pharmaceutical companies. happiness psychology health
"Animal, Vegetable, Miracle"," gives ways to improve your health and the environment by learning how to garden, cook, and eat more fruits and vegetables. ","environment, health","['environment', 'health']"," gives ways to improve your health and the environment by learning how to garden, cook, and eat more fruits and vegetables.  environment health"
Antifragile," reveals how some systems thrive from shocks, volatility and uncertainty, instead of breaking from them, and how you can adapt more antifragile traits yourself to thrive in an uncertain and chaotic world.","productivity, psychology","['productivity', 'psychology']"," reveals how some systems thrive from shocks, volatility and uncertainty, instead of breaking from them, and how you can adapt more antifragile traits yourself to thrive in an uncertain and chaotic world. productivity psychology"
Anxiety at Work," outlines the importance of having a harmonious working environment due to the constant increase in people’s stress levels from their professional lives, and how managers, direct supervisors, CEOs, and other executive bodies can help reduce it by fostering a healthy environment.","happiness, health, business, work","['happiness', 'health', 'business', 'work']"," outlines the importance of having a harmonious working environment due to the constant increase in people’s stress levels from their professional lives, and how managers, direct supervisors, CEOs, and other executive bodies can help reduce it by fostering a healthy environment. happiness health business work"
